field,value
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"OSIMO MUGGIA A.,TRAD."
luogo_pub,SESTO S. GIOVANNI-MILANO
editore,"UNIVERSALE ""BARION"""
data_pub,1941
volume,2025-04-01 00:00:00
pagine,363
formato,19
data_crea,2000-01-24 00:00:00
n_scheda,23165
segnatura,LE
noName,"10,99"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,MILANO
editore,EDIZIONI AURORA
data_pub,1936
volume,2025-01-01 00:00:00
pagine,317
formato,19
data_crea,2000-01-24 00:00:00
n_scheda,23164
segnatura,LE
noName,"10,98"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"DONNINI G.,CURAT."
luogo_pub,ROMA
editore,G. CASINI
data_pub,1951
volume,2025-01-01 00:00:00
pagine,"XII,631"
illustr,ANT
formato,20
note_sp,I GRANDI MAESTRI
data_crea,2000-01-21 00:00:00
n_scheda,23163
segnatura,LE
noName,"10,97"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"POLLEDRO A.,TRAD."
edizione,I
luogo_pub,MILANO
editore,IST. EDITORIALE ITALIANO
data_pub,1947
volume,2025-01-01 00:00:00
pagine,682
illustr,ILL.
formato,21
note_sp,MILLEPAGINE
data_crea,2000-01-21 00:00:00
n_scheda,23162
segnatura,LE
noName,"10,96"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"VILLA A.,CURAT."
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,269
illustr,TAV. [A COL.]
formato,24
note_sp,ED. FUORI COMMERCIO
data_crea,2000-01-21 00:00:00
n_scheda,23161
segnatura,LE
noName,"10/94,II"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"FOULQUES E.W.,TRAD."
luogo_pub,MILANO
editore,BIETTI
data_pub,S.D.
volume,2025-02-02 00:00:00
pagine,311
illustr,ANT.
formato,15
note_sp,"ED. COMPLETA, CONTENENTE I BRANI NON PERMESSI DALL"
data_crea,2000-01-21 00:00:00
n_scheda,23160
segnatura,LE
noName,"10/94,I (I-II)"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"FOULQUES E.W.,TRAD."
luogo_pub,MILANO
editore,BIETTI
data_pub,S.D.
volume,2025-02-01 00:00:00
pagine,313
illustr,ANT.
formato,15
note_sp,"ED. COMPLETA, CONTENENTE I BRANI NON PERMESSI DALL"
data_crea,2000-01-21 00:00:00
n_scheda,23159
segnatura,LE
noName,"10/93,III"
cod_sez,LE
n_s_sez,10
autore,"SIENKIEWICZ, HENRYK"
collabor,"VERDINOIS F.,TRAD."
luogo_pub,LANCIANO
editore,CARABBA
data_pub,1919
volume,2025-03-03 00:00:00
pagine,144
formato,17
note_sp,SCRITTORI ITALIANI E STRANIERI
data_crea,2000-01-21 00:00:00
n_scheda,23158
segnatura,LE
noName,"10/93,II"
cod_sez,LE
n_s_sez,10
autore,"SIENKIEWICZ, HENRYK"
collabor,"VERDINOIS F.,TRAD."
luogo_pub,LANCIANO
editore,CARABBA
data_pub,1919
volume,2025-03-02 00:00:00
pagine,151
formato,17
note_sp,SCRITTORI ITALIANI E STRANIERI
data_crea,2000-01-21 00:00:00
n_scheda,23157
segnatura,LE
noName,"10/93,I (I-III)"
cod_sez,LE
n_s_sez,10
autore,"SIENKIEWICZ, HENRYK"
collabor,"VERDINOIS F.,TRAD."
luogo_pub,LANCIANO
editore,CARABBA
data_pub,1919
volume,2025-03-01 00:00:00
pagine,180
formato,17
note_sp,SCRITTORI ITALIANI E STRANIERI
data_crea,2000-01-21 00:00:00
n_scheda,23156
segnatura,LE
noName,"6,56"
cod_sez,LE
n_s_sez,6
autore,KA-TZETNIK 135633
collabor,"GALLONE A.,TRAD."
edizione,II
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,308
formato,18.5
note_sp,GLI OSCAR
data_crea,2000-01-21 00:00:00
n_scheda,23155
segnatura,LE
noName,"6,55"
cod_sez,LE
n_s_sez,6
