field,value
pagine,"XLVI,1097"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21561
segnatura,LE
noName,"3/0 221,42"
cod_sez,LE
n_s_sez,3/0
autore,"GOLDONI, CARLO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XLII, CARLO GOLDONI. OPE RE, CON APPENDICE DEL TEATRO COMICO NEL SETTECENTO"
collabor,"ZAMPIERI F.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,RICCIARDI
data_pub,1954
volume,2025-01-01 00:00:00
pagine,"XXIV,1152"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21560
segnatura,LE
noName,"3/0 221,41"
cod_sez,LE
n_s_sez,3/0
autore,"METASTASIO, PIETRO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XLI, PIETRO METASTASIO; OPERE... APPENDICE, L'OPERA PER MUSICA DOPO METASTASIO (CALZABIGI - DA PONTE - CASTI)"
collabor,"FUBINI M.,CURAT. / BONORA E.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1968
volume,2025-01-01 00:00:00
pagine,"XXXIII,1176"
formato,22
note_sp,"CON UN SAGGIO INTRODUTTIVO SU ""L'OPERA METASTASIAN"
data_crea,1999-04-22 00:00:00
n_scheda,21559
segnatura,LE
noName,"3/0 221,39"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXIX, TEATRO DEL SEICEN TO"
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1956
volume,2025-01-01 00:00:00
pagine,"LIII,1259"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21558
segnatura,LE
noName,"3/0 221,37"
cod_sez,LE
n_s_sez,3/0
autore,"MARINO, GIOVAN BATTISTA"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXVII, MARINO E I MARIN I STI"
collabor,"FERRERO GIUSEPPE G.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1954
volume,2025-01-01 00:00:00
pagine,"XLVI,1139"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21557
segnatura,LE
noName,"3/0 221,36"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXVI, TRATTATISTI E NAR RATORI DEL SEICENTO"
collabor,"RAIMONDI E.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1960
volume,2025-01-01 00:00:00
pagine,"XXIX,1299"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21556
segnatura,LE
noName,"3/0 221,35/II"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXV/2, STORICI E POLITI CI VENETI, DEL CINQUECENTO E DEL SEICENTO"
collabor,BENZONI G. / ZANATO T. [A CURA DI]
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1982
volume,2025-01-01 00:00:00
pagine,"XCVIII,979"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21555
segnatura,LE
noName,"3/0 221,35/I"
cod_sez,LE
n_s_sez,3/0
autore,"SARPI, PAOLO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXV/1, PAOLO SARPI; OPE RE"
collabor,COZZI G. / COZZI L. [A CURA DI]
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1969
volume,2025-01-01 00:00:00
pagine,"XIII,1364"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21554
segnatura,LE
noName,"3/0 221,34/II"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXIV/2, SCIENZIATI DEL SEICENTO"
collabor,ALTIERI BIAGI M.L. / BASILE B. [A CURA DI]
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1980
volume,2025-01-01 00:00:00
pagine,"LXVIII,1303"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21553
segnatura,LE
noName,"3/0 221,34/I"
cod_sez,LE
n_s_sez,3/0
autore,GALILEO
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXIV/1, GALILEO GALILEI ; OPERE"
collabor,"FLORA F.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1953
volume,2025-01-01 00:00:00
pagine,"XXIX,1139"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21552
segnatura,LE
noName,"3/0 221,33"
cod_sez,LE
n_s_sez,3/0
autore,"BRUNO, GIORDANO ; CAMPANELLA, TOMMASO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXIII, OPERE DI GIORDAN O BRUNO E DI TOMMASO CAMPANELLA"
collabor,GUZZO A. / AMERIO R. [A CURA DI]
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1956
volume,2025-01-01 00:00:00
pagine,"10 F.P.,1297"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21551
segnatura,LE
noName,"3/0 221,32/III"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXII/3, SCRITTI D'ARTE DEL CINQUECENTO"
collabor,"BAROCCHI P.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1977
volume,2025-01-01 00:00:00
pagine,"XXX,2401-3609"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21550
segnatura,LE
noName,"3/0 221,32/I"
cod_sez,LE
n_s_sez,3/0
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXXII/I, SCRITTI D'ARTE DEL CINQUECENTO"
collabor,"BAROCCHI P.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1971
volume,2025-01-01 00:00:00
pagine,"XXXI,1150"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21549
segnatura,LE
noName,"3/0 221,30"
cod_sez,LE
n_s_sez,3/0
autore,"GUCCIARDINI, FRANCESCO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXX, FRANCESCO GUCCIARDI NI. OPERE"
collabor,"DE CAPRARIIS V.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1953
volume,2025-01-01 00:00:00
pagine,"XVII,1092"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21548
segnatura,LE
noName,"3/0 221,29"
cod_sez,LE
n_s_sez,3/0
autore,"MACHIAVELLI, NICCOLO`"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXIX, NICCOLO` MACCHIAVE L LI. OPERE"
collabor,"BONFANTINI M.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1954
volume,2025-01-01 00:00:00
pagine,"XXXVII,1157"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21547
segnatura,LE
noName,"3/0 221,27"
cod_sez,LE
n_s_sez,3/0
autore,"CASTIGLIONE, BALDASSARE ; DELLA CASA, GIOVANNI ; C"
titolo,LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXVII: OPERE DI BALDASSA RE CASTIGLIONE - GIOVANNI DELLA CASA - BENVENUTO CELLINI
collabor,"CORDIE' CARLO,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1960
volume,2025-01-01 00:00:00
pagine,"LXIX,1164"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21546
segnatura,LE
noName,"3/0 221,26/II"
cod_sez,LE
n_s_sez,3/0
autore,"ARETINO, PIETRO ; DONI, ANTON FRANCESCO"
titolo,LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXVI: FOLENGO - ARETINO - DONI. II/OPERE DI PIETRO ARETINO E DI ANTON FRANCESCO DONI
collabor,"CORDIE' CARLO,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1976
volume,2025-01-01 00:00:00
pagine,"VIII,1035"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21545
segnatura,LE
noName,"3/0 221,26/I"
cod_sez,LE
n_s_sez,3/0
autore,"FOLENGO, TEOFILO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXVI: FOLENGO - ARETINO - DONI. I/OPERE DI TEOFILO FOLENGO. APPENDICE, I MACCHERONICI PREFOL EN GHIANI"
collabor,"CORDIE' CARLO,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1977
volume,2025-01-01 00:00:00
pagine,"LXXXI,1110"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21544
segnatura,LE
noName,"3/0 221,25/I"
cod_sez,LE
n_s_sez,3/0
titolo,LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXV/I: TRATTATISTI DEL C INQUECENTO
collabor,"POZZI M.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1978
volume,2025-01-01 00:00:00
pagine,"XIX,1276"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21543
segnatura,LE
noName,"3/0 221,24/I"
cod_sez,LE
n_s_sez,3/0
titolo,LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXIV/I: NOVELLIERI DEL C INQUECENTO
collabor,"GUGLIELMINETTI M.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1972
volume,2025-01-01 00:00:00
pagine,"LIV,1037"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21542
segnatura,LE
noName,"3/0 221,22"
cod_sez,LE
n_s_sez,3/0
autore,"TASSO, TORQUATO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXII: TORQUATO TASSO, PR OSE"
collabor,"MAZZALI E.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1959
volume,2025-01-01 00:00:00
pagine,"XLVII,1163"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21541
segnatura,LE
noName,"3/0 221,21"
cod_sez,LE
n_s_sez,3/0
autore,"TASSO, TORQUATO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XXI: TORQUATO TASSO, POE SIE"
collabor,"FLORA F.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1952
volume,2025-01-01 00:00:00
pagine,"XLVI,1027"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21540
segnatura,LE
noName,"3/0 221,20"
cod_sez,LE
n_s_sez,3/0
autore,"ARIOSTO, LUDOVICO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XX: LUDOVICO ARIOSTO, OP E RE MINORI"
collabor,"SEGRE CESARE,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1954
volume,2025-01-01 00:00:00
pagine,"XXV,1253"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21539
segnatura,LE
noName,"3/0 221,19"
cod_sez,LE
n_s_sez,3/0
autore,"ARIOSTO, LUDOVICO"
titolo,"LA LETTERATURA ITALIANA. STORIA E TESTI. V. XIX: LUDOVICO ARIOSTO, O R LANDO FURIOSO"
collabor,"CARETTI L.,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1954
volume,2025-01-01 00:00:00
pagine,"6 F.P.,1248"
formato,22
note_sp,DATA ED. POSTA IN FONDO AL V.
data_crea,1999-04-22 00:00:00
n_scheda,21538
segnatura,LE
noName,"3/0 221,17"
cod_sez,LE
n_s_sez,3/0
autore,"PULCI, LUIGI"
titolo,LA LETTERATURA ITALIANA. STORIA E TESTI. V. XVII: LUIGI PULCI. MORGA NTE
collabor,"AGENO FRANCA,CURAT."
luogo_pub,MILANO/NAPOLI
editore,R. RICCIARDI
data_pub,1955
volume,2025-01-01 00:00:00
pagine,"XXX,1179"
formato,22
data_crea,1999-04-22 00:00:00
n_scheda,21537
segnatura,S 3
noName,",XII/15"
cod_sez,S
n_s_sez,3
autore,"SALVATORELLI, L."
luogo_pub,TORINO
editore,EINAUDI
data_pub,COPYRIGHT 1942
volume,2025-01-01 00:00:00
pagine,"8 F.P.,1301"
formato,22
collezion,"BIBLIOTECA DI CULTURA STORICA, V. 15"
data_crea,1999-04-21 00:00:00
n_scheda,21536
segnatura,S 2
noName,"4,26"
cod_sez,S
n_s_sez,24
autore,"RIMANELLI, GIOSE"
luogo_pub,GENOVA
editore,IMMORDINO
data_pub,1968
volume,2025-01-01 00:00:00
pagine,260
formato,21
note_sp,TELEOBIETTIVO [COLL.]
data_crea,1999-04-21 00:00:00
n_scheda,21535
segnatura,DC
noName,"8/1,II"
cod_sez,DC
n_s_sez,8
autore,"AQUARONE, A. (ED.) ; NEGRI, GUGLIELMO (ED.) ; SCEL"
titolo,LA FORMAZIONE DEGLI STATI UNITI D'AMERICA. DOCUMENTI. V.II(1776-1796 )
luogo_pub,PISA
editore,NISTRI-LISCHI
data_pub,COPYRIGHT 1961
volume,2025-02-02 00:00:00
pagine,"XXXI,525"
formato,21
data_crea,1999-04-21 00:00:00
n_scheda,21534
segnatura,DC
noName,"8/1,I (I-II)"
cod_sez,DC
n_s_sez,8
autore,"AQUARONE, A. (ED.) ; NEGRI, GUGLIELMO (ED.) ; SCEL"
titolo,LA FORMAZIONE DEGLI STATI UNITI D'AMERICA. DOCUMENTI. V.I (1606-1776 )
luogo_pub,PISA
editore,NISTRI-LISCHI
data_pub,COPYRIGHT 1961
volume,2025-02-01 00:00:00
pagine,"LVIII [LX],421"
formato,21
data_crea,1999-04-21 00:00:00
n_scheda,21533
segnatura,SE
noName,"19,17"
cod_sez,SE
n_s_sez,19
autore,"LUTERO, MARTIN"
collabor,"VINAY A.,CURAT."
luogo_pub,BARI
editore,LATERZA
data_pub,1958
volume,2025-01-01 00:00:00
pagine,"XXIV,468"
formato,20.5
note_sp,"OP. DOPPIA, DIVERSA CASA EDITRICE; TESTI RELIGIOSI"
data_crea,1999-04-21 00:00:00
n_scheda,21532
segnatura,SE
noName,"27,16"
cod_sez,SE
n_s_sez,27
autore,"TURBERVILLE, A. S."
collabor,"AGAZZI E.,TRAD."
edizione,II
luogo_pub,MILANO
editore,FELTRINELLI
data_pub,COPYRIGHT 1959
volume,2025-01-01 00:00:00
pagine,206
formato,18
note_sp,"OP. DOPPIA, DIVERSA ED.; UNIVERSALE ECONOMICA/240"
data_crea,1999-04-21 00:00:00
n_scheda,21531
segnatura,SP
noName,"17,236"
cod_sez,SP
n_s_sez,17
autore,"FORTE, BRUNO"
luogo_pub,TORINO
editore,SAN PAOLO
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,128
formato,18
note_sp,NUOVI FERMENTI/24
cod_isbn,88-215-3021-3
data_crea,1999-04-21 00:00:00
n_scheda,21530
segnatura,S 2
noName,"4,27"
cod_sez,S
n_s_sez,24
autore,"BIAGI, ENZO"
edizione,IV
luogo_pub,TORINO
editore,S.E.I.
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,322
illustr,"ILL. [FOT.,FUORI TESTO]"
formato,22.5
data_crea,1999-04-20 00:00:00
n_scheda,21529
segnatura,PS
noName,"3,25"
cod_sez,PS
n_s_sez,3
autore,"FROMM, ERICH"
collabor,"SABA SARDI F.,TRAD. / SCHULTZ HANS J.,CURAT."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1984
volume,2025-01-01 00:00:00
pagine,"4 F.P.,170"
formato,20.5
note_sp,SAGGI
data_crea,1999-04-20 00:00:00
n_scheda,21528
segnatura,LE
noName,"3-A/112,II"
cod_sez,LE
n_s_sez,3
autore,"FLAMINI, FRANCESCO"
edizione,II ACCR. E CORR.
luogo_pub,NAPOLI
editore,F. PERRELLA
data_pub,1914 [?]
volume,2025-02-02 00:00:00
pagine,"4 F.P.,728"
formato,19.5
data_crea,1999-04-20 00:00:00
n_scheda,21527
segnatura,LE
noName,"3-A/112,I (I-II)"
cod_sez,LE
n_s_sez,3
autore,"FLAMINI, FRANCESCO"
edizione,II ACCR. E CORR.
luogo_pub,NAPOLI
editore,F. PERRELLA
data_pub,1914 [?]
volume,2025-02-01 00:00:00
pagine,"VIII,525"
formato,19.5
data_crea,1999-04-20 00:00:00
n_scheda,21526
segnatura,LE
noName,3-O/6
cod_sez,LE
n_s_sez,3
autore,"ORTESE, ANNA MARIA"
luogo_pub,BARI
editore,LATERZA
data_pub,1958
volume,2025-01-01 00:00:00
pagine,141
formato,20.5
data_crea,1999-04-20 00:00:00
n_scheda,21525
segnatura,PO
noName,24
cod_sez,PO
n_s_sez,0
autore,"PIERI, ANTONELLA"
titolo,"DONNE E CITTADINANZA. TESI DI LAUREA IN ""SISTEMA POLITICO ITALIANO"", ANNO ACCADEMICO 1989-1990"
luogo_pub,TORINO
editore,UNIVERSITA` DEGLI STUDI DI TORINO
data_pub,/
volume,2025-01-01 00:00:00
pagine,216
formato,29
note_sp,RELATRICE: PROF.SSA GIOVANNA ZINCONE
data_crea,1999-04-20 00:00:00
n_scheda,21524
segnatura,PO
noName,23
cod_sez,PO
n_s_sez,0
autore,"ALLASON, BARBARA"
luogo_pub,MILANO
editore,EDIZIONI AVANTI!
data_pub,1961
volume,2025-01-01 00:00:00
pagine,339
formato,18.5
data_crea,1999-04-20 00:00:00
n_scheda,21523
segnatura,PO
noName,22
cod_sez,PO
n_s_sez,0
titolo,"COLLOQUIO A TORINO/1. CATTOLICI, LAICI, MARXISTI ATTRAVERSO LA CRIS I"
luogo_pub,TORINO
editore,EDIZIONI STAMPATORI
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,154
formato,18
note_sp,CONTRIBUTI DI AA.VV.
data_crea,1999-04-20 00:00:00
n_scheda,21522
segnatura,PO
noName,21
cod_sez,PO
n_s_sez,0
autore,"RONCHEY, ALBERTO"
luogo_pub,ROMA/BARI
editore,LATERZA
data_pub,1977
volume,2025-01-01 00:00:00
pagine,"6 F.P.,135"
formato,18
note_sp,SAGGI TASCABILI LATERZA/37
data_crea,1999-04-20 00:00:00
n_scheda,21521
segnatura,PO
noName,20
cod_sez,PO
n_s_sez,0
autore,"AJELLO, NELLO (ED.)"
luogo_pub,ROMA/BARI
editore,LATERZA
data_pub,1978
volume,2025-01-01 00:00:00
pagine,"4 F.P.,209"
formato,18
note_sp,SAGGI TASCABILI LATERZA/54
data_crea,1999-04-20 00:00:00
n_scheda,21520
segnatura,PO
noName,19
cod_sez,PO
n_s_sez,0
autore,"MAN, HENRI DE"
collabor,"SCHIAVI A.,CURAT."
luogo_pub,BARI
editore,LATERZA
data_pub,1929
volume,2025-01-01 00:00:00
pagine,307
formato,20.5
note_sp,BIBLIOTECA DI CULTURA MODERNA
data_crea,1999-04-20 00:00:00
n_scheda,21519
segnatura,PO
noName,18
cod_sez,PO
n_s_sez,0
titolo,"IL PONTE. RIVISTA MENSILE DI POLITICA E LETTERATURA; ANNO XXXI, N. 1 1 E 12"
luogo_pub,FIRENZE
editore,LA NUOVA ITALIA
data_pub,1975
volume,2025-01-01 00:00:00
pagine,"2 F.P.,1219-1506"
formato,22
data_crea,1999-04-20 00:00:00
n_scheda,21518
segnatura,PO
noName,17
cod_sez,PO
n_s_sez,0
titolo,"IL PONTE. RIVISTA MENSILE DI POLITICA E LETTERATURA; ANNO XXXI, N. 1 0"
collabor,"CALAMANDREI P.,ED."
luogo_pub,FIRENZE
editore,LA NUOVA ITALIA
data_pub,1975
volume,2025-01-01 00:00:00
pagine,"6 F.P.,1015-1216"
formato,22
data_crea,1999-04-20 00:00:00
n_scheda,21517
segnatura,PO
noName,16
cod_sez,PO
n_s_sez,0
autore,"PESENTI, ANTONIO"
luogo_pub,MILANO
editore,LA PIETRA
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,319
formato,21
note_sp,PROTAGONISTI
data_crea,1999-04-20 00:00:00
n_scheda,21516
segnatura,PO
noName,15
cod_sez,PO
n_s_sez,0
autore,"MCLLWAIN, CHARLES H."
collabor,"FERRARA GIOVANNI,CURAT."
edizione,I
luogo_pub,VENEZIA
editore,NERI POZZA
data_pub,1959
volume,2025-01-01 00:00:00
pagine,483
formato,21
note_sp,STUDI POLITICI/6
data_crea,1999-04-20 00:00:00
n_scheda,21515
segnatura,PO
noName,14
cod_sez,PO
n_s_sez,0
autore,"DE TOCQUEVILLE, A."
collabor,"CANDELORO G.,TRAD."
luogo_pub,BOLOGNA
editore,L. CAPPELLI
data_pub,1953
volume,2025-01-01 00:00:00
pagine,372
formato,21.5
data_crea,1999-04-20 00:00:00
n_scheda,21514
segnatura,PO
noName,13
cod_sez,PO
n_s_sez,0
autore,"WILSON, FRANCIS G."
collabor,"GALASSO GIUSEPPE,CURAT."
edizione,I
luogo_pub,VENEZIA
editore,NERI POZZA
data_pub,1959
volume,2025-01-01 00:00:00
pagine,"XIV [XVI],399"
formato,21
note_sp,STUDI POLITICI/7
data_crea,1999-04-20 00:00:00
n_scheda,21513
segnatura,PO
noName,12
cod_sez,PO
n_s_sez,0
autore,"BINKLEY, WILFRED E."
collabor,"AQUARONE ALBERTO,CURAT."
luogo_pub,PISA
editore,NISTRI-LISCHI
data_pub,1961
volume,2025-01-01 00:00:00
pagine,"XIV,603"
formato,20.5
note_sp,INTROD. DI G. NEGRI
data_crea,1999-04-20 00:00:00
n_scheda,21512
segnatura,PO
noName,11
cod_sez,PO
n_s_sez,0
autore,"GAROSCI, ALDO"
luogo_pub,MILANO
editore,EDIZIONI DI COMUNITA`
data_pub,COPYRIGHT 1954
volume,2025-01-01 00:00:00
pagine,"X,438"
formato,22.5
data_crea,1999-04-20 00:00:00
n_scheda,21511
segnatura,PO
noName,10
cod_sez,PO
n_s_sez,0
autore,"HAMILTON, A. ; JAY, J. ; MADISON, J."
titolo,IL FEDERALISTA (COMMENTO ALLA COSTITUZIONE DEGLI STATI UNITI) NITI D'AMERICA... CON APPENDICI DI G. NEGRI E M. D'ADDIO; OP. DOPPIA VEDERE ANCHE DIRITTO CIVILE [DC 16]
collabor,"AMBROSINI G.,CURAT. ; TEDESCHINI LALLI B.M.,TRAD."
luogo_pub,PISA
editore,NISTRI-LISCHI
data_pub,COPYRIGHT 1955
volume,2025-01-01 00:00:00
pagine,"CXXXVI,682"
illustr,"ILL. [FOT.,FUORI TESTO]"
formato,21
note_sp,RACCOLTA DI SAGGI SCRITTI IN DIFESA DELLA COSTITUZ
data_crea,1999-04-20 00:00:00
n_scheda,21510
segnatura,PO
noName,9
cod_sez,PO
n_s_sez,0
autore,"STALIN, GIUSEPPE"
collabor,ZAMBONI G. / GIUSTI W. [TRAD. A CURA DI]
luogo_pub,ROMA
editore,EDIZIONI LEONARDO
data_pub,1945
volume,2025-01-01 00:00:00
pagine,151
formato,21
note_sp,INTROD. DI W. GIUSTI
data_crea,1999-04-20 00:00:00
n_scheda,21509
segnatura,PO
noName,8
cod_sez,PO
n_s_sez,0
autore,"SCHMITT, CARL"
collabor,"CANTIMORI D.,TRAD."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1935
volume,2025-01-01 00:00:00
pagine,"X,233"
formato,21
note_sp,PREF. DI A. VOLPICELLI
data_crea,1999-04-20 00:00:00
n_scheda,21508
segnatura,PO
noName,7
cod_sez,PO
n_s_sez,0
autore,"PARESCE, ENRICO"
luogo_pub,MILANO
editore,A. GIUFFRE`
data_pub,1949
volume,2025-01-01 00:00:00
pagine,146
formato,23
data_crea,1999-04-20 00:00:00
n_scheda,21507
segnatura,PO
noName,6
cod_sez,PO
n_s_sez,0
autore,"LENIN, NIKOLAJ"
collabor,"PLATONE FELICE,TRAD."
luogo_pub,ROMA
editore,EDIZIONI RINASCITA
data_pub,1947
volume,2025-01-01 00:00:00
pagine,475
formato,21
note_sp,I CLASSICI DEL MARXISMO
data_crea,1999-04-20 00:00:00
n_scheda,21503
segnatura,LE
noName,3-S/71
cod_sez,LE
n_s_sez,3
autore,"SVEVO, ITALO"
edizione,VIII
luogo_pub,MILANO
editore,DALL'OGLIO
data_pub,1961
volume,2025-01-01 00:00:00
pagine,278
formato,18.5
note_sp,SCRITTORI DI TUTTO IL MONDO
data_crea,1999-04-19 00:00:00
n_scheda,21502
segnatura,LE
noName,3-P/137
cod_sez,LE
n_s_sez,3
autore,"PALAZZESCHI, ALDO"
edizione,III
luogo_pub,FIRENZE
editore,VALLECCHI
data_pub,1943
volume,2025-01-01 00:00:00
pagine,650
formato,19.5
data_crea,1999-04-19 00:00:00
n_scheda,21501
segnatura,LE
noName,3-P/136
cod_sez,LE
n_s_sez,3
autore,"PRATOLINI, VASCO"
luogo_pub,FIRENZE
editore,VALLECCHI
data_pub,1947
volume,2025-01-01 00:00:00
pagine,557
formato,19.5
data_crea,1999-04-19 00:00:00
n_scheda,21500
segnatura,LE
noName,3-P/135
cod_sez,LE
n_s_sez,3
autore,"PIOVENE, GUIDO"
edizione,X
luogo_pub,MILANO
editore,BOMPIANI
data_pub,1960
volume,2025-01-01 00:00:00
pagine,258
formato,20.5
data_crea,1999-04-19 00:00:00
n_scheda,21499
segnatura,LE
noName,3-P/122
cod_sez,LE
n_s_sez,3
autore,"PRATOLINI, VASCO"
edizione,VI
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,201
formato,18.5
note_sp,GLI OSCAR/155
data_crea,1999-04-19 00:00:00
n_scheda,21498
segnatura,LE
noName,3-M/86
cod_sez,LE
n_s_sez,3
autore,MARILIA
luogo_pub,GENOVA
editore,STRINGA
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,175
formato,21
data_crea,1999-04-19 00:00:00
n_scheda,21497
segnatura,LE
noName,3-B/69
cod_sez,LE
n_s_sez,3
autore,"BRANCATI, VITALIANO"
luogo_pub,MILANO
editore,BOMPIANI
data_pub,COPYRIGHT 1955
volume,2025-01-01 00:00:00
pagine,"XVI,371"
formato,20
note_sp,PREF. DI ALBERTO MORAVIA; OPERE DI VITALIANO BRANC
data_crea,1999-04-19 00:00:00
n_scheda,21496
segnatura,S 2
noName,5/PET (1)
cod_sez,S
n_s_sez,25
soggetto,"PETROSINO, JOE. BIOGRAFIA"
autore,"PETACCO, ARRIGO"
luogo_pub,NOVARA
editore,IST. GEOGR. DE AGOSTINI S.P.A.
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,189
formato,18.5
